glmnet 

3836 samples
 256 predictor

No pre-processing
Resampling: Cross-Validated (10 fold) 
Summary of sample sizes: 3452, 3452, 3452, 3453, 3454, 3453, ... 
Resampling results across tuning parameters:

  alpha      lambda       RMSE      Rsquared     MAE     
  0.5000000  0.000100000  25.35918  0.008837976  20.29005
  0.5000000  0.005149495  25.35918  0.008837976  20.29005
  0.5000000  0.010198990  25.35106  0.008848400  20.28396
  0.5000000  0.015248485  25.34198  0.008859134  20.27711
  0.5000000  0.020297980  25.33298  0.008870120  20.27033
  0.5000000  0.025347475  25.32406  0.008881989  20.26365
  0.5000000  0.030396970  25.31518  0.008894710  20.25698
  0.5000000  0.035446465  25.30640  0.008907429  20.25032
  0.5000000  0.040495960  25.29770  0.008919527  20.24370
  0.5000000  0.045545455  25.28905  0.008932082  20.23711
  0.5000000  0.050594949  25.28047  0.008945572  20.23054
  0.5000000  0.055644444  25.27193  0.008960153  20.22404
  0.5000000  0.060693939  25.26350  0.008974328  20.21757
  0.5000000  0.065743434  25.25519  0.008989187  20.21120
  0.5000000  0.070792929  25.24699  0.009003331  20.20490
  0.5000000  0.075842424  25.23894  0.009016842  20.19861
  0.5000000  0.080891919  25.23094  0.009030680  20.19231
  0.5000000  0.085941414  25.22287  0.009044796  20.18601
  0.5000000  0.090990909  25.21494  0.009060054  20.17991
  0.5000000  0.096040404  25.20719  0.009075969  20.17385
  0.5000000  0.101089899  25.19955  0.009090965  20.16783
  0.5000000  0.106139394  25.19195  0.009105680  20.16179
  0.5000000  0.111188889  25.18444  0.009120211  20.15574
  0.5000000  0.116238384  25.17694  0.009136093  20.14970
  0.5000000  0.121287879  25.16954  0.009151677  20.14365
  0.5000000  0.126337374  25.16217  0.009168805  20.13766
  0.5000000  0.131386869  25.15488  0.009185850  20.13168
  0.5000000  0.136436364  25.14769  0.009202233  20.12574
  0.5000000  0.141485859  25.14062  0.009218195  20.11985
  0.5000000  0.146535354  25.13373  0.009230993  20.11405
  0.5000000  0.151584848  25.12699  0.009242257  20.10839
  0.5000000  0.156634343  25.12033  0.009253513  20.10284
  0.5000000  0.161683838  25.11379  0.009263968  20.09736
  0.5000000  0.166733333  25.10733  0.009274203  20.09194
  0.5000000  0.171782828  25.10099  0.009283542  20.08664
  0.5000000  0.176832323  25.09473  0.009292739  20.08136
  0.5000000  0.181881818  25.08852  0.009304016  20.07616
  0.5000000  0.186931313  25.08237  0.009315002  20.07101
  0.5000000  0.191980808  25.07628  0.009326644  20.06603
  0.5000000  0.197030303  25.07022  0.009339010  20.06108
  0.5000000  0.202079798  25.06424  0.009351109  20.05617
  0.5000000  0.207129293  25.05831  0.009363878  20.05130
  0.5000000  0.212178788  25.05242  0.009376847  20.04640
  0.5000000  0.217228283  25.04656  0.009391838  20.04143
  0.5000000  0.222277778  25.04075  0.009406518  20.03656
  0.5000000  0.227327273  25.03504  0.009420278  20.03179
  0.5000000  0.232376768  25.02929  0.009436806  20.02701
  0.5000000  0.237426263  25.02351  0.009456561  20.02216
  0.5000000  0.242475758  25.01777  0.009477203  20.01734
  0.5000000  0.247525253  25.01209  0.009498382  20.01256
  0.5000000  0.252574747  25.00643  0.009521359  20.00775
  0.5000000  0.257624242  25.00083  0.009545007  20.00294
  0.5000000  0.262673737  24.99526  0.009569754  19.99813
  0.5000000  0.267723232  24.98978  0.009593869  19.99339
  0.5000000  0.272772727  24.98432  0.009619746  19.98866
  0.5000000  0.277822222  24.97892  0.009645576  19.98407
  0.5000000  0.282871717  24.97362  0.009671069  19.97950
  0.5000000  0.287921212  24.96834  0.009698248  19.97492
  0.5000000  0.292970707  24.96314  0.009725822  19.97044
  0.5000000  0.298020202  24.95806  0.009752144  19.96611
  0.5000000  0.303069697  24.95302  0.009779220  19.96191
  0.5000000  0.308119192  24.94802  0.009806856  19.95772
  0.5000000  0.313168687  24.94310  0.009832898  19.95355
  0.5000000  0.318218182  24.93818  0.009860810  19.94936
  0.5000000  0.323267677  24.93326  0.009890219  19.94522
  0.5000000  0.328317172  24.92840  0.009920173  19.94107
  0.5000000  0.333366667  24.92356  0.009951056  19.93690
  0.5000000  0.338416162  24.91880  0.009981749  19.93275
  0.5000000  0.343465657  24.91416  0.010009518  19.92862
  0.5000000  0.348515152  24.90958  0.010037075  19.92451
  0.5000000  0.353564646  24.90506  0.010064823  19.92039
  0.5000000  0.358614141  24.90057  0.010093257  19.91626
  0.5000000  0.363663636  24.89613  0.010121473  19.91216
  0.5000000  0.368713131  24.89179  0.010148318  19.90816
  0.5000000  0.373762626  24.88750  0.010174419  19.90419
  0.5000000  0.378812121  24.88328  0.010199775  19.90032
  0.5000000  0.383861616  24.87912  0.010225107  19.89652
  0.5000000  0.388911111  24.87504  0.010249243  19.89275
  0.5000000  0.393960606  24.87105  0.010271814  19.88902
  0.5000000  0.399010101  24.86712  0.010293789  19.88533
  0.5000000  0.404059596  24.86324  0.010316010  19.88173
  0.5000000  0.409109091  24.85940  0.010338676  19.87822
  0.5000000  0.414158586  24.85563  0.010361476  19.87480
  0.5000000  0.419208081  24.85191  0.010383758  19.87150
  0.5000000  0.424257576  24.84828  0.010406978  19.86830
  0.5000000  0.429307071  24.84470  0.010430127  19.86512
  0.5000000  0.434356566  24.84117  0.010452804  19.86200
  0.5000000  0.439406061  24.83775  0.010471641  19.85893
  0.5000000  0.444455556  24.83433  0.010492504  19.85580
  0.5000000  0.449505051  24.83094  0.010512901  19.85272
  0.5000000  0.454554545  24.82760  0.010532651  19.84969
  0.5000000  0.459604040  24.82431  0.010552344  19.84671
  0.5000000  0.464653535  24.82109  0.010572135  19.84386
  0.5000000  0.469703030  24.81790  0.010592904  19.84100
  0.5000000  0.474752525  24.81475  0.010614198  19.83822
  0.5000000  0.479802020  24.81165  0.010634947  19.83544
  0.5000000  0.484851515  24.80859  0.010655825  19.83274
  0.5000000  0.489901010  24.80555  0.010677600  19.83000
  0.5000000  0.494950505  24.80255  0.010698091  19.82733
  0.5000000  0.500000000  24.79967  0.010714407  19.82485
  0.5050505  0.000100000  25.35918  0.008837980  20.29005
  0.5050505  0.005149495  25.35918  0.008837980  20.29005
  0.5050505  0.010198990  25.35088  0.008848638  20.28383
  0.5050505  0.015248485  25.34172  0.008859460  20.27691
  0.5050505  0.020297980  25.33263  0.008870580  20.27007
  0.5050505  0.025347475  25.32363  0.008882638  20.26332
  0.5050505  0.030396970  25.31467  0.008895491  20.25659
  0.5050505  0.035446465  25.30581  0.008908316  20.24987
  0.5050505  0.040495960  25.29703  0.008920539  20.24319
  0.5050505  0.045545455  25.28830  0.008933327  20.23654
  0.5050505  0.050594949  25.27963  0.008947122  20.22991
  0.5050505  0.055644444  25.27102  0.008961831  20.22335
  0.5050505  0.060693939  25.26253  0.008976184  20.21682
  0.5050505  0.065743434  25.25415  0.008991178  20.21041
  0.5050505  0.070792929  25.24589  0.009005364  20.20405
  0.5050505  0.075842424  25.23778  0.009018987  20.19770
  0.5050505  0.080891919  25.22968  0.009032961  20.19133
  0.5050505  0.085941414  25.22154  0.009047348  20.18500
  0.5050505  0.090990909  25.21357  0.009063001  20.17885
  0.5050505  0.096040404  25.20578  0.009078950  20.17274
  0.5050505  0.101089899  25.19808  0.009093996  20.16666
  0.5050505  0.106139394  25.19042  0.009108791  20.16056
  0.5050505  0.111188889  25.18284  0.009123780  20.15445
  0.5050505  0.116238384  25.17529  0.009139510  20.14835
  0.5050505  0.121287879  25.16782  0.009155863  20.14226
  0.5050505  0.126337374  25.16039  0.009173315  20.13620
  0.5050505  0.131386869  25.15306  0.009190036  20.13019
  0.5050505  0.136436364  25.14582  0.009206961  20.12419
  0.5050505  0.141485859  25.13873  0.009222344  20.11827
  0.5050505  0.146535354  25.13183  0.009234366  20.11244
  0.5050505  0.151584848  25.12504  0.009245992  20.10676
  0.5050505  0.156634343  25.11836  0.009256973  20.10120
  0.5050505  0.161683838  25.11178  0.009267420  20.09567
  0.5050505  0.166733333  25.10529  0.009277600  20.09024
  0.5050505  0.171782828  25.09892  0.009286697  20.08490
  0.5050505  0.176832323  25.09262  0.009296852  20.07959
  0.5050505  0.181881818  25.08637  0.009308126  20.07436
  0.5050505  0.186931313  25.08018  0.009319285  20.06922
  0.5050505  0.191980808  25.07404  0.009331457  20.06421
  0.5050505  0.197030303  25.06795  0.009343881  20.05922
  0.5050505  0.202079798  25.06194  0.009356245  20.05428
  0.5050505  0.207129293  25.05596  0.009369384  20.04936
  0.5050505  0.212178788  25.05003  0.009383338  20.04438
  0.5050505  0.217228283  25.04413  0.009398380  20.03939
  0.5050505  0.222277778  25.03830  0.009412713  20.03451
  0.5050505  0.227327273  25.03254  0.009427426  20.02972
  0.5050505  0.232376768  25.02671  0.009445780  20.02484
  0.5050505  0.237426263  25.02088  0.009466420  20.01995
  0.5050505  0.242475758  25.01513  0.009487230  20.01512
  0.5050505  0.247525253  25.00939  0.009509729  20.01027
  0.5050505  0.252574747  25.00370  0.009533206  20.00542
  0.5050505  0.257624242  24.99806  0.009557825  20.00054
  0.5050505  0.262673737  24.99247  0.009582765  19.99572
  0.5050505  0.267723232  24.98696  0.009607786  19.99094
  0.5050505  0.272772727  24.98147  0.009634337  19.98623
  0.5050505  0.277822222  24.97609  0.009659465  19.98164
  0.5050505  0.282871717  24.97074  0.009686502  19.97700
  0.5050505  0.287921212  24.96545  0.009714155  19.97242
  0.5050505  0.292970707  24.96026  0.009741425  19.96798
  0.5050505  0.298020202  24.95516  0.009768235  19.96370
  0.5050505  0.303069697  24.95009  0.009796128  19.95946
  0.5050505  0.308119192  24.94511  0.009822301  19.95526
  0.5050505  0.313168687  24.94012  0.009850461  19.95101
  0.5050505  0.318218182  24.93516  0.009879447  19.94682
  0.5050505  0.323267677  24.93022  0.009909685  19.94263
  0.5050505  0.328317172  24.92533  0.009940392  19.93843
  0.5050505  0.333366667  24.92049  0.009971861  19.93422
  0.5050505  0.338416162  24.91576  0.010000717  19.93005
  0.5050505  0.343465657  24.91112  0.010028561  19.92589
  0.5050505  0.348515152  24.90654  0.010056535  19.92174
  0.5050505  0.353564646  24.90199  0.010085027  19.91756
  0.5050505  0.358614141  24.89749  0.010113642  19.91341
  0.5050505  0.363663636  24.89308  0.010141095  19.90936
  0.5050505  0.368713131  24.88873  0.010167832  19.90532
  0.5050505  0.373762626  24.88445  0.010193501  19.90139
  0.5050505  0.378812121  24.88023  0.010219047  19.89753
  0.5050505  0.383861616  24.87608  0.010244174  19.89372
  0.5050505  0.388911111  24.87204  0.010266931  19.88994
  0.5050505  0.393960606  24.86805  0.010289316  19.88621
  0.5050505  0.399010101  24.86412  0.010311669  19.88254
  0.5050505  0.404059596  24.86024  0.010334314  19.87898
  0.5050505  0.409109091  24.85641  0.010357552  19.87551
  0.5050505  0.414158586  24.85265  0.010380078  19.87215
  0.5050505  0.419208081  24.84897  0.010403205  19.86891
  0.5050505  0.424257576  24.84535  0.010426769  19.86569
  0.5050505  0.429307071  24.84177  0.010449996  19.86253
  0.5050505  0.434356566  24.83831  0.010469073  19.85943
  0.5050505  0.439406061  24.83485  0.010490043  19.85627
  0.5050505  0.444455556  24.83141  0.010510844  19.85315
  0.5050505  0.449505051  24.82804  0.010530771  19.85009
  0.5050505  0.454554545  24.82471  0.010550676  19.84707
  0.5050505  0.459604040  24.82145  0.010570605  19.84418
  0.5050505  0.464653535  24.81823  0.010591496  19.84129
  0.5050505  0.469703030  24.81504  0.010613012  19.83848
  0.5050505  0.474752525  24.81191  0.010634005  19.83567
  0.5050505  0.479802020  24.80882  0.010655069  19.83294
  0.5050505  0.484851515  24.80574  0.010677024  19.83018
  0.5050505  0.489901010  24.80271  0.010697764  19.82747
  0.5050505  0.494950505  24.79980  0.010714330  19.82496
  0.5050505  0.500000000  24.79694  0.010730258  19.82246
  0.5101010  0.000100000  25.35919  0.008837985  20.29006
  0.5101010  0.005149495  25.35919  0.008837985  20.29006
  0.5101010  0.010198990  25.35070  0.008848876  20.28369
  0.5101010  0.015248485  25.34146  0.008859789  20.27671
