NULL
NULL
NULL
NULL
NULL
NULL
NULL

No pre-processing
Resampling: Cross-Validated (10 fold) 
Summary of sample sizes: 4500, 4500, 4500, 4500, 4500, 4500, ... 
Resampling results across tuning parameters:

  alpha      lambda       RMSE       Rsquared      MAE      
  0.5000000  0.000100000  1.0155145  0.0100352300  0.8122763
  0.5000000  0.005149495  1.0091427  0.0104821609  0.8073643
  0.5000000  0.010198990  1.0042520  0.0109169158  0.8037784
  0.5000000  0.015248485  1.0009379  0.0110159363  0.8013851
  0.5000000  0.020297980  0.9987649  0.0109777564  0.7996600
  0.5000000  0.025347475  0.9973089  0.0111080985  0.7986021
  0.5000000  0.030396970  0.9963308  0.0112740801  0.7980473
  0.5000000  0.035446465  0.9956430  0.0116650080  0.7977604
  0.5000000  0.040495960  0.9952971  0.0120390477  0.7976232
  0.5000000  0.045545455  0.9953286  0.0121815747  0.7977736
  0.5000000  0.050594949  0.9957507  0.0115921319  0.7982135
  0.5000000  0.055644444  0.9964412  0.0103408589  0.7987988
  0.5000000  0.060693939  0.9971707  0.0089622017  0.7993693
  0.5000000  0.065743434  0.9978491  0.0076108148  0.7998587
  0.5000000  0.070792929  0.9983803  0.0064637962  0.8002276
  0.5000000  0.075842424  0.9987843  0.0055065439  0.8004716
  0.5000000  0.080891919  0.9991025  0.0045333328  0.8006524
  0.5000000  0.085941414  0.9993382  0.0033016628  0.8007867
  0.5000000  0.090990909  0.9994903  0.0021699305  0.8008502
  0.5000000  0.096040404  0.9995527  0.0018583831  0.8008488
  0.5000000  0.101089899  0.9995970  0.0018689863  0.8008451
  0.5000000  0.106139394  0.9996315  0.0015774178  0.8008535
  0.5000000  0.111188889  0.9996597  0.0015956625  0.8008538
  0.5000000  0.116238384  0.9996653  0.0009567511  0.8008567
  0.5000000  0.121287879  0.9996551  0.0001282733  0.8008471
  0.5000000  0.126337374  0.9996465  0.0001282733  0.8008399
  0.5000000  0.131386869  0.9996423           NaN  0.8008347
  0.5000000  0.136436364  0.9996423           NaN  0.8008347
  0.5000000  0.141485859  0.9996423           NaN  0.8008347
  0.5000000  0.146535354  0.9996423           NaN  0.8008347
  0.5000000  0.151584848  0.9996423           NaN  0.8008347
  0.5000000  0.156634343  0.9996423           NaN  0.8008347
  0.5000000  0.161683838  0.9996423           NaN  0.8008347
  0.5000000  0.166733333  0.9996423           NaN  0.8008347
  0.5000000  0.171782828  0.9996423           NaN  0.8008347
  0.5000000  0.176832323  0.9996423           NaN  0.8008347
  0.5000000  0.181881818  0.9996423           NaN  0.8008347
  0.5000000  0.186931313  0.9996423           NaN  0.8008347
  0.5000000  0.191980808  0.9996423           NaN  0.8008347
  0.5000000  0.197030303  0.9996423           NaN  0.8008347
  0.5000000  0.202079798  0.9996423           NaN  0.8008347
  0.5000000  0.207129293  0.9996423           NaN  0.8008347
  0.5000000  0.212178788  0.9996423           NaN  0.8008347
  0.5000000  0.217228283  0.9996423           NaN  0.8008347
  0.5000000  0.222277778  0.9996423           NaN  0.8008347
  0.5000000  0.227327273  0.9996423           NaN  0.8008347
  0.5000000  0.232376768  0.9996423           NaN  0.8008347
  0.5000000  0.237426263  0.9996423           NaN  0.8008347
  0.5000000  0.242475758  0.9996423           NaN  0.8008347
  0.5000000  0.247525253  0.9996423           NaN  0.8008347
  0.5000000  0.252574747  0.9996423           NaN  0.8008347
  0.5000000  0.257624242  0.9996423           NaN  0.8008347
  0.5000000  0.262673737  0.9996423           NaN  0.8008347
  0.5000000  0.267723232  0.9996423           NaN  0.8008347
  0.5000000  0.272772727  0.9996423           NaN  0.8008347
  0.5000000  0.277822222  0.9996423           NaN  0.8008347
  0.5000000  0.282871717  0.9996423           NaN  0.8008347
  0.5000000  0.287921212  0.9996423           NaN  0.8008347
  0.5000000  0.292970707  0.9996423           NaN  0.8008347
  0.5000000  0.298020202  0.9996423           NaN  0.8008347
  0.5000000  0.303069697  0.9996423           NaN  0.8008347
  0.5000000  0.308119192  0.9996423           NaN  0.8008347
  0.5000000  0.313168687  0.9996423           NaN  0.8008347
  0.5000000  0.318218182  0.9996423           NaN  0.8008347
  0.5000000  0.323267677  0.9996423           NaN  0.8008347
  0.5000000  0.328317172  0.9996423           NaN  0.8008347
  0.5000000  0.333366667  0.9996423           NaN  0.8008347
  0.5000000  0.338416162  0.9996423           NaN  0.8008347
  0.5000000  0.343465657  0.9996423           NaN  0.8008347
  0.5000000  0.348515152  0.9996423           NaN  0.8008347
  0.5000000  0.353564646  0.9996423           NaN  0.8008347
  0.5000000  0.358614141  0.9996423           NaN  0.8008347
  0.5000000  0.363663636  0.9996423           NaN  0.8008347
  0.5000000  0.368713131  0.9996423           NaN  0.8008347
  0.5000000  0.373762626  0.9996423           NaN  0.8008347
  0.5000000  0.378812121  0.9996423           NaN  0.8008347
  0.5000000  0.383861616  0.9996423           NaN  0.8008347
  0.5000000  0.388911111  0.9996423           NaN  0.8008347
  0.5000000  0.393960606  0.9996423           NaN  0.8008347
  0.5000000  0.399010101  0.9996423           NaN  0.8008347
  0.5000000  0.404059596  0.9996423           NaN  0.8008347
  0.5000000  0.409109091  0.9996423           NaN  0.8008347
  0.5000000  0.414158586  0.9996423           NaN  0.8008347
  0.5000000  0.419208081  0.9996423           NaN  0.8008347
  0.5000000  0.424257576  0.9996423           NaN  0.8008347
  0.5000000  0.429307071  0.9996423           NaN  0.8008347
  0.5000000  0.434356566  0.9996423           NaN  0.8008347
  0.5000000  0.439406061  0.9996423           NaN  0.8008347
  0.5000000  0.444455556  0.9996423           NaN  0.8008347
  0.5000000  0.449505051  0.9996423           NaN  0.8008347
  0.5000000  0.454554545  0.9996423           NaN  0.8008347
  0.5000000  0.459604040  0.9996423           NaN  0.8008347
  0.5000000  0.464653535  0.9996423           NaN  0.8008347
  0.5000000  0.469703030  0.9996423           NaN  0.8008347
  0.5000000  0.474752525  0.9996423           NaN  0.8008347
  0.5000000  0.479802020  0.9996423           NaN  0.8008347
  0.5000000  0.484851515  0.9996423           NaN  0.8008347
  0.5000000  0.489901010  0.9996423           NaN  0.8008347
  0.5000000  0.494950505  0.9996423           NaN  0.8008347
  0.5000000  0.500000000  0.9996423           NaN  0.8008347
  0.5050505  0.000100000  1.0155146  0.0100352300  0.8122764
  0.5050505  0.005149495  1.0090860  0.0104875854  0.8073207
  0.5050505  0.010198990  1.0041726  0.0109221091  0.8037207
  0.5050505  0.015248485  1.0008619  0.0110142816  0.8013254
  0.5050505  0.020297980  0.9986950  0.0109787995  0.7996037
  0.5050505  0.025347475  0.9972535  0.0111136705  0.7985702
  0.5050505  0.030396970  0.9962802  0.0112949966  0.7980230
  0.5050505  0.035446465  0.9956067  0.0116929692  0.7977488
  0.5050505  0.040495960  0.9952832  0.0120682846  0.7976183
  0.5050505  0.045545455  0.9953469  0.0121767972  0.7978041
  0.5050505  0.050594949  0.9958128  0.0114859283  0.7982694
  0.5050505  0.055644444  0.9965166  0.0102073437  0.7988580
  0.5050505  0.060693939  0.9972591  0.0087876089  0.7994382
  0.5050505  0.065743434  0.9979332  0.0074499682  0.7999159
  0.5050505  0.070792929  0.9984457  0.0063227483  0.8002702
  0.5050505  0.075842424  0.9988371  0.0053566156  0.8005045
  0.5050505  0.080891919  0.9991422  0.0043544566  0.8006740
  0.5050505  0.085941414  0.9993683  0.0031174324  0.8008009
  0.5050505  0.090990909  0.9995035  0.0020962113  0.8008528
  0.5050505  0.096040404  0.9995643  0.0017813032  0.8008486
  0.5050505  0.101089899  0.9996056  0.0018476632  0.8008464
  0.5050505  0.106139394  0.9996386  0.0016156267  0.8008561
  0.5050505  0.111188889  0.9996643  0.0011528194  0.8008535
  0.5050505  0.116238384  0.9996633  0.0001367712  0.8008537
  0.5050505  0.121287879  0.9996529  0.0001282706  0.8008453
  0.5050505  0.126337374  0.9996447  0.0001282706  0.8008381
  0.5050505  0.131386869  0.9996423           NaN  0.8008347
  0.5050505  0.136436364  0.9996423           NaN  0.8008347
  0.5050505  0.141485859  0.9996423           NaN  0.8008347
  0.5050505  0.146535354  0.9996423           NaN  0.8008347
  0.5050505  0.151584848  0.9996423           NaN  0.8008347
  0.5050505  0.156634343  0.9996423           NaN  0.8008347
  0.5050505  0.161683838  0.9996423           NaN  0.8008347
  0.5050505  0.166733333  0.9996423           NaN  0.8008347
  0.5050505  0.171782828  0.9996423           NaN  0.8008347
  0.5050505  0.176832323  0.9996423           NaN  0.8008347
  0.5050505  0.181881818  0.9996423           NaN  0.8008347
  0.5050505  0.186931313  0.9996423           NaN  0.8008347
  0.5050505  0.191980808  0.9996423           NaN  0.8008347
  0.5050505  0.197030303  0.9996423           NaN  0.8008347
  0.5050505  0.202079798  0.9996423           NaN  0.8008347
  0.5050505  0.207129293  0.9996423           NaN  0.8008347
  0.5050505  0.212178788  0.9996423           NaN  0.8008347
  0.5050505  0.217228283  0.9996423           NaN  0.8008347
  0.5050505  0.222277778  0.9996423           NaN  0.8008347
  0.5050505  0.227327273  0.9996423           NaN  0.8008347
  0.5050505  0.232376768  0.9996423           NaN  0.8008347
  0.5050505  0.237426263  0.9996423           NaN  0.8008347
  0.5050505  0.242475758  0.9996423           NaN  0.8008347
  0.5050505  0.247525253  0.9996423           NaN  0.8008347
  0.5050505  0.252574747  0.9996423           NaN  0.8008347
  0.5050505  0.257624242  0.9996423           NaN  0.8008347
  0.5050505  0.262673737  0.9996423           NaN  0.8008347
  0.5050505  0.267723232  0.9996423           NaN  0.8008347
  0.5050505  0.272772727  0.9996423           NaN  0.8008347
  0.5050505  0.277822222  0.9996423           NaN  0.8008347
  0.5050505  0.282871717  0.9996423           NaN  0.8008347
  0.5050505  0.287921212  0.9996423           NaN  0.8008347
  0.5050505  0.292970707  0.9996423           NaN  0.8008347
  0.5050505  0.298020202  0.9996423           NaN  0.8008347
  0.5050505  0.303069697  0.9996423           NaN  0.8008347
  0.5050505  0.308119192  0.9996423           NaN  0.8008347
  0.5050505  0.313168687  0.9996423           NaN  0.8008347
  0.5050505  0.318218182  0.9996423           NaN  0.8008347
  0.5050505  0.323267677  0.9996423           NaN  0.8008347
  0.5050505  0.328317172  0.9996423           NaN  0.8008347
  0.5050505  0.333366667  0.9996423           NaN  0.8008347
  0.5050505  0.338416162  0.9996423           NaN  0.8008347
  0.5050505  0.343465657  0.9996423           NaN  0.8008347
  0.5050505  0.348515152  0.9996423           NaN  0.8008347
  0.5050505  0.353564646  0.9996423           NaN  0.8008347
  0.5050505  0.358614141  0.9996423           NaN  0.8008347
  0.5050505  0.363663636  0.9996423           NaN  0.8008347
  0.5050505  0.368713131  0.9996423           NaN  0.8008347
  0.5050505  0.373762626  0.9996423           NaN  0.8008347
  0.5050505  0.378812121  0.9996423           NaN  0.8008347
  0.5050505  0.383861616  0.9996423           NaN  0.8008347
  0.5050505  0.388911111  0.9996423           NaN  0.8008347
  0.5050505  0.393960606  0.9996423           NaN  0.8008347
  0.5050505  0.399010101  0.9996423           NaN  0.8008347
  0.5050505  0.404059596  0.9996423           NaN  0.8008347
  0.5050505  0.409109091  0.9996423           NaN  0.8008347
  0.5050505  0.414158586  0.9996423           NaN  0.8008347
  0.5050505  0.419208081  0.9996423           NaN  0.8008347
  0.5050505  0.424257576  0.9996423           NaN  0.8008347
  0.5050505  0.429307071  0.9996423           NaN  0.8008347
  0.5050505  0.434356566  0.9996423           NaN  0.8008347
  0.5050505  0.439406061  0.9996423           NaN  0.8008347
  0.5050505  0.444455556  0.9996423           NaN  0.8008347
  0.5050505  0.449505051  0.9996423           NaN  0.8008347
  0.5050505  0.454554545  0.9996423           NaN  0.8008347
  0.5050505  0.459604040  0.9996423           NaN  0.8008347
  0.5050505  0.464653535  0.9996423           NaN  0.8008347
  0.5050505  0.469703030  0.9996423           NaN  0.8008347
  0.5050505  0.474752525  0.9996423           NaN  0.8008347
  0.5050505  0.479802020  0.9996423           NaN  0.8008347
